bio_count,he/him,she/her,they/them,she/they,he/they,us_day_YYYY_MM_DD
255831,12.508257404302059,50.42391266109267,10.553842184879862,5.472362614382151,0.7817660877688787,2019_04_09
257052,14.004948415106671,52.90758290151409,11.281764001058152,5.057342483232965,2.7231844140485193,2019_04_10
253504,11.8341327947488,56.014895228477656,8.678364049482454,5.128124211057814,2.3668265589497604,2019_04_11
245519,14.255515866389159,57.42936391888204,12.219013599762137,6.109506799881069,1.6292018133016182,2019_04_12
223954,15.628209364423052,58.94067531725265,13.395608026648329,8.037364815988997,2.232601337774722,2019_04_13
239419,16.289434004820002,53.88043555440462,12.112656054866155,5.429811334940001,3.7591001549584617,2019_04_14
252024,12.697203440942133,56.74062787671016,7.935752150588833,6.348601720471066,1.5871504301177666,2019_04_15
250072,15.595508493553856,53.984452477686425,11.59666016187338,5.9982724975207145,1.5995393326721905,2019_04_16
249491,13.62774609104136,62.52730559418977,11.623665783535278,6.413056984019463,3.2065284920097317,2019_04_17
257928,16.283614031822836,52.72789305542632,13.569678359852363,6.203281535932509,2.3262305759746904,2019_04_18
236567,12.258683586468104,62.1388443865797,10.990543905109336,6.340698406793847,1.6908529084783592,2019_04_19
215496,14.849463563128783,70.07090618851394,8.816868990607714,7.888777517912166,4.640457363477744,2019_04_20
219187,11.862017364168496,61.13501256917609,11.405785927085091,5.931008682084248,2.737388622500422,2019_04_21
247848,11.29724669959007,56.082760401536426,13.314612181659728,4.438204060553242,2.4208385784835866,2019_04_22
260539,14.968968177508934,52.967118166570074,9.211672724620882,5.757295452888052,3.0705575748736273,2019_04_23
256872,14.793360117101125,52.16605936030396,10.12177271170077,7.3966800585505625,3.5036905540502663,2019_04_24
262006,13.740143355495675,48.090501744234864,14.503484653023213,4.198377136401456,1.9083532438188437,2019_04_25
240793,12.043539471662383,53.988280390210676,10.382361613502054,7.060005897181396,2.491766787240493,2019_04_26
216106,14.34481226805364,56.453777312985295,12.031132869980473,6.4783023146048695,3.7018870369170687,2019_04_27
233199,15.008640688853726,53.17346986908177,13.293367467270443,7.718729497124773,1.286454916187462,2019_04_28
240601,14.546905457583302,51.95323377708322,9.975020885199978,7.4812656638999835,2.9093810915166602,2019_04_29
253049,14.226493683041625,59.27705701267343,12.250591782619177,5.137344941098364,2.766262660591427,2019_04_30
259616,13.481449525452977,57.0072722790583,12.325896708985578,4.622211265869592,3.8518427215579933,2019_05_01
240585,14.9635264043893,51.956688904129514,9.560030758359831,7.8974167134276865,3.325228089864289,2019_05_02
233338,15.856825720628445,47.570477161885336,10.285508575542774,6.857005717028517,2.5713771438856936,2019_05_03
217046,15.664882098725617,52.98416003980723,15.664882098725617,7.832441049362808,2.764390958598638,2019_05_04
224917,16.8951213114171,55.576056945450986,10.225994477962981,6.6691268334541185,1.3338253666908237,2019_05_05
254535,16.5006777064058,62.07397803838372,11.000451804270533,3.535859508515528,3.535859508515528,2019_05_06
257310,12.824997085227935,54.40907854339124,9.327270607438498,5.440907854339124,1.9431813765496873,2019_05_07
259763,11.933955182223796,53.89528146810747,10.009123701219957,5.389528146810747,1.5398651848030704,2019_05_08
246576,16.62773343715528,49.883200311465835,11.761079748231783,4.461099214846538,3.649990266692622,2019_05_09
237412,13.057469715094435,54.335922362812326,11.372634913146767,7.160547908277594,0.8424174009738346,2019_05_10
211826,14.162567390216498,60.42695419825706,14.162567390216498,2.8325134780432997,2.8325134780432997,2019_05_11
230946,15.155057892321148,62.35223818554987,14.72205623825483,5.196019848795823,2.5980099243979113,2019_05_12
239635,14.188244622029336,54.24917061364158,12.936340684791453,5.842218373776785,2.5038078744757652,2019_05_13
254653,8.639207077866745,51.835242467200466,12.958810616800116,5.497677231369746,1.1780736924363742,2019_05_14
256458,12.47767665660654,58.0991819323242,15.207168425239221,5.069056141746406,3.5093465596705893,2019_05_15
254410,15.329586101175268,53.06395188868362,12.57812192916945,3.9306631028654535,1.9653315514327268,2019_05_16
241301,17.82006705318254,55.117881815657626,12.018184756797528,4.973041968330011,2.4865209841650056,2019_05_17
208344,15.839189033521484,57.59705103098722,14.399262757746804,3.8398034020658143,1.9199017010329071,2019_05_18
232483,14.194586270824104,61.07973486233402,15.054864226631624,7.7425016022676925,2.580833867422564,2019_05_19
244913,16.740638512451362,55.52992287057037,10.61601466643257,6.941240358821296,1.2249247692037581,2019_05_20
247984,13.710561971740113,58.87476611394283,13.307310149041873,6.855280985870056,1.2097554680947158,2019_05_21
249402,10.825895542136792,49.718927674998596,12.429731918749649,6.014386412298217,2.8067136590725013,2019_05_22
246802,17.01769029424397,57.536000518634374,14.18140857853664,6.8881127381463685,3.241464817951232,2019_05_23
228940,13.977461343583471,56.34664104132087,14.414257010570456,6.9887306717917355,3.0575696689088843,2019_05_24
209232,15.294027682190105,69.3010629349239,13.382274221916342,7.6470138410950526,4.301445285615967,2019_05_25
209342,14.808304114797796,63.05471429526803,14.808304114797796,8.598370131172913,2.8661233770576375,2019_05_26
220718,13.592004276950679,56.18028434472947,12.6858706584873,6.34293532924365,1.359200427695068,2019_05_27
