trigram,overall,he/him,she/her,they/them,he/they,she/they,multiple,pronoun list
on my own,626,6,7,3,1,2,0,19
has to offer,626,3,4,1,0,0,0,8
do not follow,625,27,23,16,2,7,2,77
- - -,625,11,13,6,3,6,1,40
will not be,625,10,18,0,0,1,0,29
rock n roll,625,4,12,1,0,1,1,19
life is not,625,5,4,0,0,0,0,9
is my president,625,0,3,1,1,1,0,6
king of the,623,23,9,5,5,0,1,43
i am in,623,12,14,2,3,3,0,34
oh and i,623,18,6,3,1,0,1,29
trying to learn,622,32,14,1,1,1,0,49
here to be,622,12,15,4,4,6,1,42
with a little,622,7,23,1,0,0,0,31
what i love,622,3,8,3,1,0,0,15
the most important,622,4,5,0,0,1,0,10
and i do,621,13,13,7,2,0,1,36
not looking for,621,3,7,1,1,0,0,12
dm if you,620,19,4,3,1,4,1,32
to see in,620,10,15,1,2,4,0,32
tweet at a,620,11,11,1,2,0,1,26
on a journey,620,12,6,1,1,1,0,21
i will never,620,4,10,4,0,2,1,21
hello i am,619,21,12,2,3,3,0,41
my free time,618,18,22,6,0,4,0,50
mom of three,618,0,26,0,0,0,0,26
to my onlyfans,618,4,7,0,0,1,0,12
link below to,617,3,7,0,2,3,0,15
of new york,617,5,7,0,0,0,0,12
follow my instagram,616,7,6,0,1,0,1,15
see in the,615,10,15,2,2,4,0,33
it is a,615,3,4,0,2,1,1,11
love to have,615,2,1,0,0,0,0,3
a real estate,615,0,0,0,0,0,0,0
video game enthusiast,614,49,39,7,4,3,2,104
to put here,614,27,22,2,7,5,1,64
to the next,614,5,3,0,0,1,0,9
god my family,614,0,1,0,0,1,0,2
minding my business,612,0,7,0,0,3,0,10
what you think,612,2,6,0,1,1,0,10
at the intersection,611,13,22,3,1,1,0,40
social studies teacher,611,16,18,1,1,0,0,36
vice president of,611,5,11,1,0,2,0,19
university of kentucky,611,10,9,0,0,0,0,19
of 3 boys,611,2,5,0,0,0,0,7
my own i,610,49,33,2,2,3,1,90
these are my,610,12,23,2,1,3,1,42
mom of a,610,0,30,0,0,2,0,32
in san francisco,609,13,14,0,0,2,0,29
you follow me,609,9,14,1,1,1,2,28
is going to,609,7,6,1,1,1,0,16
doing what i,608,10,7,1,2,0,0,20
meant to be,608,5,10,2,0,0,0,17
the things i,607,13,17,2,1,3,1,37
waiting for the,607,14,10,0,1,0,0,25
is all about,607,2,6,0,2,0,2,12
and loving it,606,11,6,2,0,1,1,21
i love being,606,6,8,1,1,1,0,17
founder and ceo,606,4,6,0,0,0,0,10
love my kids,606,2,7,0,0,0,0,9
a guy that,606,8,1,0,0,0,0,9
like to draw,605,34,46,15,3,19,2,119
