token,overall,he/him,she/her,they/them,he/they,she/they,multiple,pronoun list
fellow,18.648,40.882,48.985,23.457,18.803,17.197,4.371,40.816
forever,30.854,33.395,49.068,38.537,32.383,25.181,39.336,40.776
mental,18.088,26.74,52.14,36.861,31.338,35.622,43.706,40.576
find,46.732,43.972,39.022,34.069,38.65,41.15,48.077,40.537
check,40.811,46.824,32.38,48.59,56.409,48.52,52.448,40.537
army,40.359,21.867,62.518,18.989,7.312,20.268,21.853,40.537
co-host,14.771,63.7,31.965,22.899,18.803,19.039,21.853,40.537
enjoyer,9.136,64.175,19.677,47.473,83.568,39.921,39.336,40.537
native,37.18,41.951,48.072,20.665,19.847,13.512,21.853,40.497
af,10.743,28.522,40.682,58.084,58.498,59.575,104.895,40.337
say,35.826,45.873,37.694,40.771,22.981,36.851,61.189,40.257
mama,22.694,1.783,75.968,8.378,4.178,31.323,34.965,40.217
